Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
ister Bakhdad.,@BakhdadO,"https://pbs.twimg.com/media/GNd9Iv_XkAAmb56?format=jpg&name=small, https://pbs.twimg.com/media/GNd9Iv_XkAAmb56?format=jpg&name=small",838,1.6K,53,,,https://twitter.com/BakhdadO,"""La différence entre Orange France et Orange Sénégal est flagrante. Les niveaux de service ne sont pas comparables, et les Sénégalais méritent mieux. Il est temps que @Orange_sn respecte ses clients.

 #Orange #Sénégal",,
MoustaphM,@Taphawest,"https://pbs.twimg.com/media/GNeL043XIAEZc0j?format=jpg&name=small, https://pbs.twimg.com/media/GNeL043XIAEZc0j?format=jpg&name=small",8,24,12,4.5K,https://twitter.com/Taphawest/status/1790053125363032500,https://twitter.com/Taphawest,"Pas les bons chiffres, Orange FR est à 34,99€ pour l’offre incluant les 170G, soit 23000 et non 11000. Les 6 premiers mois sont à 15000f. On veut bien débattre mais sur la base d’info non calomnieuse. Ce collectif perd toute sa crédibilité avec cette manipulation à outrance",20h,2024-05-13T16:14:57.000Z
ister Bakhdad.,@BakhdadO,"https://pbs.twimg.com/media/GNeME17XwAE89eJ?format=jpg&name=small, https://pbs.twimg.com/media/GNeME17XwAE89eJ?format=jpg&name=small",,27,7,2.4K,https://twitter.com/BakhdadO/status/1790053394679312422,https://twitter.com/BakhdadO,,20h,2024-05-13T16:16:01.000Z
dofbi.eth,@dofbi,"https://pbs.twimg.com/media/CQ91IxbVAAISufz?format=png&name=small, https://pbs.twimg.com/media/CQ91IxbVAAISufz?format=png&name=small",1,4,,455,https://twitter.com/dofbi/status/1790163304134197474,https://twitter.com/dofbi,Reposte,12h,2024-05-13T23:32:45.000Z
JB Ndour,@jbndour,"https://pbs.twimg.com/media/GNewfc_XgAAx3MU?format=jpg&name=small, https://pbs.twimg.com/media/GNewfc_XgAAx3MU?format=jpg&name=small",,1,1,468,https://twitter.com/jbndour/status/1790093435845624030,https://twitter.com/jbndour,"Le téléphone est cher au sénégal mais les 2 marches ne sont pas comparables en terme de taille ou de rentabilité 
Regardons plutôt la sous région (Côte d’Ivoire ou Ghana par exemple)",17h,2024-05-13T18:55:08.000Z
PROSetDIOMAYE,@prosinconnu,,,5,4,1.9K,https://twitter.com/prosinconnu/status/1790039231177318842,https://twitter.com/prosinconnu,Les prix chez orange fr aussi ce n’est pas donné hyn. Est-ce que ce sont les bons tarifs ?,21h,2024-05-13T15:19:44.000Z
Ssyn_,@Ssyn_,"https://pbs.twimg.com/media/GNeQmKUXUAAlUKG?format=jpg&name=small, https://pbs.twimg.com/media/GNeQmKUXUAAlUKG?format=jpg&name=small",2,9,1,1.4K,https://twitter.com/Ssyn_/status/1790058368586928575,https://twitter.com/Ssyn_,"Petite nuance: il faut comparer le comparable. Le modèle n’est pas le même.
Dejà le tarif pour ce volume est de 34,99€ et il s’agit d’un forfait avec engagement sur la durée, quoiqu’il arrive ils sont sûr d’encaisser ce montant chaque mois.
Ici on parle de rechargement aléatoire",19h,2024-05-13T16:35:47.000Z
NDOUR Mamadou TN,@ndourm9,,,,,365,https://twitter.com/ndourm9/status/1790061851629220250,https://twitter.com/ndourm9,C’est la surfacturation au Sénégal qui subventionne la facturation en France.,19h,2024-05-13T16:49:37.000Z
Pape Sohna,@PapeSohna,,,4,,1.1K,https://twitter.com/PapeSohna/status/1790038279007387941,https://twitter.com/PapeSohna,Bilahi il est temps qu'on combatte ça.,21h,2024-05-13T15:15:57.000Z
Babacar  𝕏,@babaqare,,,,,5,https://twitter.com/babaqare/status/1790353182708621352,https://twitter.com/babaqare,"Mon Ami je vois plusieurs comptes pro Orange Sénégal, ne les calcule meme pas. Orange France et Orange Sénégal, comme Yalla ak yalli. Tout le monde sait ça depuis des années, la fibre c’est encore pire.",12m,2024-05-14T12:07:16.000Z
